Date,Publisher,Campaign,Status,Average Position,Quality Score,Impressions,Clicks,Publication Cost (USD),Average Bid USD,Average CPC USD,Daily Budget USD,Application Starts,Application Submissions,New Account Conversions,Impression share,Non-Budget Impression Share Lost,Budget Impression Share Lost,Comments
01/01/14,Google,CCBG,Active,1.4,9.6,90,2, $1.10 , $13.39 , $0.55 , $150.00 ,0,0,0,95.74%,4.26%,0.00%,
01/02/14,Google,CCBG,Active,1.6,9.6,787,62, $46.95 , $9.37 , $0.76 , $150.00 ,8,2,1,94.36%,5.64%,0.00%,
01/03/14,Google,CCBG,Active,1.7,9.6,675,38, $22.54 , $9.96 , $0.59 , $150.00 ,3,0,0,94.14%,5.86%,0.00%,
01/04/14,Google,CCBG,Active,1.9,9.6,456,23, $15.47 , $9.65 , $0.67 , $150.00 ,2,0,0,89.59%,10.41%,0.00%,
01/05/14,Google,CCBG,Active,1.8,9.6,472,30, $27.91 , $9.42 , $0.93 , $150.00 ,8,0,0,89.90%,10.10%,0.00%,
01/06/14,Google,CCBG,Active,1.7,9.7,640,55, $56.91 , $11.16 , $1.03 , $150.00 ,6,1,1,92.49%,7.51%,0.00%,
01/07/14,Google,CCBG,Active,1.7,9.6,624,48, $24.61 , $12.61 , $0.51 , $150.00 ,4,0,0,93.00%,7.00%,0.00%,
01/08/14,Google,CCBG,Active,1.6,9.7,641,43, $26.09 , $10.24 , $0.61 , $150.00 ,3,0,0,92.76%,7.24%,0.00%,
01/09/14,Google,CCBG,Active,1.5,9.6,584,47, $29.64 , $12.93 , $0.63 , $150.00 ,12,3,2,91.97%,8.03%,0.00%,
01/10/14,Google,CCBG,Active,1.6,9.7,501,37, $32.21 , $16.25 , $0.87 , $150.00 ,13,3,2,92.61%,7.39%,0.00%,
01/11/14,Google,CCBG,Active,1.9,9.6,385,12, $14.78 , $13.75 , $1.23 , $150.00 ,0,0,0,83.88%,16.12%,0.00%,
01/12/14,Google,CCBG,Active,1.4,9.7,379,31, $24.47 , $15.50 , $0.79 , $150.00 ,1,1,1,85.36%,14.64%,0.00%,
01/13/14,Google,CCBG,Active,1.3,9.7,556,42, $23.48 , $16.21 , $0.56 , $150.00 ,8,1,0,94.72%,5.28%,0.00%,
01/14/14,Google,CCBG,Active,1.2,9.8,422,39, $31.47 , $22.44 , $0.81 , $150.00 ,4,1,0,95.26%,4.74%,0.00%,
01/15/14,Google,CCBG,Active,1.3,9.8,464,43, $37.42 , $17.91 , $0.87 , $150.00 ,11,1,0,94.89%,5.11%,0.00%,
01/16/14,Google,CCBG,Active,1.4,9.8,392,34, $24.70 , $19.81 , $0.73 , $150.00 ,5,0,0,91.59%,8.41%,0.00%,
01/17/14,Google,CCBG,Active,1.4,9.8,392,38, $23.31 , $16.52 , $0.61 , $150.00 ,4,1,0,92.89%,7.11%,0.00%,
01/18/14,Google,CCBG,Active,1.5,9.7,287,20, $20.07 , $26.19 , $1.00 , $150.00 ,11,0,0,89.41%,10.59%,0.00%,
01/19/14,Google,CCBG,Active,1.5,9.7,290,26, $25.64 , $20.44 , $0.99 , $150.00 ,0,0,0,89.51%,10.49%,0.00%,
01/20/14,Google,CCBG,Active,1.2,9.8,436,36, $20.50 , $17.61 , $0.57 , $150.00 ,1,0,0,91.79%,8.21%,0.00%,
01/21/14,Google,CCBG,Active,1.4,9.8,511,38, $69.90 , $19.18 , $1.84 , $150.00 ,2,0,0,95.16%,4.84%,0.00%,
01/22/14,Google,CCBG,Active,1.4,9.7,413,24, $36.18 , $19.80 , $1.51 , $150.00 ,4,1,0,92.19%,7.81%,0.00%,
01/23/14,Google,CCBG,Active,1.3,9.8,418,35, $14.82 , $23.17 , $0.42 , $150.00 ,4,0,0,94.14%,5.86%,0.00%,
01/24/14,Google,CCBG,Active,1.3,9.8,353,31, $9.28 , $21.97 , $0.30 , $150.00 ,2,1,1,94.13%,5.87%,0.00%,
01/25/14,Google,CCBG,Active,1.5,9.7,281,21, $17.73 , $25.21 , $0.84 , $150.00 ,3,0,0,89.21%,10.79%,0.00%,
01/26/14,Google,CCBG,Active,1.7,9.8,270,16, $10.03 , $18.41 , $0.63 , $150.00 ,0,0,0,85.17%,12.30%,2.52%,
01/27/14,Google,CCBG,Active,2.5,9.5,314,14, $11.39 , $7.58 , $0.81 , $150.00 ,1,0,0,89.20%,9.38%,1.42%,
01/28/14,Google,CCBG,Active,2.2,9.6,130,6, $11.79 , $14.58 , $1.96 , $150.00 ,1,1,0,44.37%,3.41%,52.22%,
01/29/14,Google,CCBG,Active,1.9,9.7,349,18, $19.17 , $16.80 , $1.06 , $150.00 ,5,0,0,92.08%,3.96%,3.96%,
01/30/14,Google,CCBG,Active,1.6,9.7,332,23, $10.81 , $29.79 , $0.47 , $150.00 ,0,0,0,94.86%,5.14%,0.00%,
01/31/14,Google,CCBG,Active,1.8,9.7,266,17, $14.58 , $20.59 , $0.86 , $150.00 ,0,0,0,91.72%,8.28%,0.00%,
02/01/14,Google,CCBG,Active,1.9,9.6,270,18, $46.05 , $16.22 , $2.56 , $150.00 ,1,0,0,87.95%,12.05%,0.00%,
02/02/14,Google,CCBG,Active,1.9,9.6,338,20, $27.89 , $21.99 , $1.39 , $150.00 ,2,0,0,91.85%,8.15%,0.00%,
02/03/14,Google,CCBG,Active,1.6,9.7,513,39, $37.03 , $16.97 , $0.95 , $150.00 ,2,0,0,90.32%,9.68%,0.00%,
02/04/14,Google,CCBG,Active,1.6,9.7,555,37, $47.06 , $21.94 , $1.27 , $150.00 ,1,0,0,93.43%,6.57%,0.00%,
02/05/14,Google,CCBG,Active,1.6,9.7,500,36, $35.79 , $26.54 , $0.99 , $150.00 ,2,0,0,94.52%,5.48%,0.00%,
02/06/14,Google,CCBG,Active,1.5,9.7,513,33, $28.29 , $25.11 , $0.86 , $150.00 ,5,1,0,95.00%,5.00%,0.00%,
02/07/14,Google,CCBG,Active,1.5,9.7,436,40, $30.38 , $19.74 , $0.76 , $150.00 ,5,2,2,91.98%,8.02%,0.00%,
02/08/14,Google,CCBG,Active,1.5,9.6,273,13, $21.06 , $14.23 , $1.62 , $150.00 ,3,2,2,88.35%,11.65%,0.00%,
02/09/14,Google,CCBG,Active,1.7,9.7,302,17, $27.22 , $22.18 , $1.60 , $150.00 ,3,0,0,88.56%,11.44%,0.00%,
02/10/14,Google,CCBG,Active,1.6,9.7,476,39, $47.32 , $24.28 , $1.21 , $150.00 ,2,1,1,89.14%,10.86%,0.00%,
02/11/14,Google,CCBG,Active,1.2,9.8,362,30, $11.84 , $33.83 , $0.39 , $150.00 ,4,0,0,95.51%,4.49%,0.00%,
02/12/14,Google,CCBG,Active,1.2,9.8,351,29, $52.09 , $26.54 , $1.80 , $150.00 ,7,0,0,95.90%,4.10%,0.00%,
02/13/14,Google,CCBG,Active,1.3,9.8,292,23, $19.53 , $22.42 , $0.85 , $150.00 ,3,1,1,94.19%,5.81%,0.00%,
02/14/14,Google,CCBG,Active,1.4,9.8,238,20, $11.84 , $22.56 , $0.59 , $150.00 ,1,0,0,96.75%,3.25%,0.00%,
02/15/14,Google,CCBG,Active,1.3,9.8,197,14, $8.88 , $21.56 , $0.63 , $150.00 ,3,2,2,97.52%,2.48%,0.00%,
02/16/14,Google,CCBG,Active,1.2,9.8,198,18, $10.64 , $36.07 , $0.59 , $150.00 ,7,0,0,95.19%,4.81%,0.00%,
02/17/14,Google,CCBG,Active,1.2,9.8,316,30, $17.22 , $25.82 , $0.57 , $150.00 ,7,2,1,97.23%,2.77%,0.00%,
02/18/14,Google,CCBG,Active,1.2,9.8,368,29, $29.47 , $25.23 , $1.02 , $150.00 ,6,0,0,96.59%,3.41%,0.00%,
02/19/14,Google,CCBG,Active,1.3,9.8,340,23, $14.31 , $24.65 , $0.62 , $150.00 ,5,0,0,97.14%,2.86%,0.00%,
02/20/14,Google,CCBG,Active,1.3,9.8,318,29, $6.49 , $24.01 , $0.22 , $150.00 ,5,0,0,96.07%,3.93%,0.00%,
02/21/14,Google,CCBG,Active,1.3,9.9,311,32, $58.31 , $32.21 , $1.82 , $150.00 ,3,2,0,97.49%,2.51%,0.00%,
02/22/14,Google,CCBG,Active,1.2,9.7,213,23, $48.09 , $29.81 , $2.09 , $150.00 ,4,1,0,95.52%,4.48%,0.00%,
02/23/14,Google,CCBG,Active,1.3,9.7,249,21, $10.75 , $28.32 , $0.51 , $150.00 ,1,1,1,96.89%,3.11%,0.00%,
02/24/14,Google,CCBG,Active,1.2,9.8,294,33, $37.84 , $33.97 , $1.15 , $150.00 ,4,0,0,98.66%,1.34%,0.00%,
02/25/14,Google,CCBG,Active,1.2,9.8,367,40, $59.49 , $19.08 , $1.49 , $150.00 ,4,1,1,98.92%,1.08%,0.00%,
02/26/14,Google,CCBG,Active,1.2,9.9,321,26, $63.08 , $20.92 , $2.43 , $150.00 ,6,0,0,97.87%,2.13%,0.00%,
02/27/14,Google,CCBG,Active,1.2,9.8,310,35, $95.95 , $21.50 , $2.74 , $150.00 ,0,0,0,98.41%,1.59%,0.00%,
02/28/14,Google,CCBG,Active,1.3,9.7,269,25, $25.58 , $24.98 , $1.02 , $150.00 ,10,2,0,96.76%,3.24%,0.00%,
03/01/14,Google,CCBG,Active,1.3,9.7,250,20, $21.29 , $25.35 , $1.06 , $150.00 ,3,1,0,96.53%,3.47%,0.00%,
03/02/14,Google,CCBG,Active,1.3,9.8,274,33, $39.71 , $32.61 , $1.20 , $150.00 ,0,0,0,97.86%,2.14%,0.00%,
03/03/14,Google,CCBG,Active,1.2,9.8,337,26, $13.21 , $21.21 , $0.51 , $150.00 ,4,0,0,97.40%,2.60%,0.00%,
03/04/14,Google,CCBG,Active,1.2,9.8,343,43, $18.82 , $30.47 , $0.44 , $150.00 ,1,1,1,98.28%,1.72%,0.00%,
03/05/14,Google,CCBG,Active,1.4,9.8,314,27, $16.77 , $24.88 , $0.62 , $150.00 ,4,0,0,98.74%,1.26%,0.00%,
03/06/14,Google,CCBG,Active,1.2,9.8,311,32, $37.35 , $27.37 , $1.17 , $150.00 ,4,0,0,97.80%,2.20%,0.00%,
03/07/14,Google,CCBG,Active,1.3,9.8,343,31, $73.39 , $32.90 , $2.37 , $150.00 ,5,0,0,95.81%,4.19%,0.00%,
03/08/14,Google,CCBG,Active,1.2,9.8,289,30, $12.70 , $31.08 , $0.42 , $150.00 ,2,0,0,96.66%,3.34%,0.00%,
03/09/14,Google,CCBG,Active,1.4,9.8,232,23, $53.72 , $31.43 , $2.34 , $150.00 ,6,2,1,97.89%,2.11%,0.00%,
03/10/14,Google,CCBG,Active,1.1,9.8,352,29, $58.40 , $32.03 , $2.01 , $150.00 ,2,0,0,97.78%,2.22%,0.00%,
03/11/14,Google,CCBG,Active,1.2,9.8,361,29, $35.50 , $30.69 , $1.22 , $150.00 ,1,0,0,95.00%,5.00%,0.00%,
03/12/14,Google,CCBG,Active,1.2,9.7,292,44, $81.38 , $29.74 , $1.85 , $150.00 ,2,0,0,97.33%,2.67%,0.00%,
03/13/14,Google,CCBG,Active,1.2,9.8,345,43, $82.29 , $30.32 , $1.91 , $150.00 ,7,2,1,98.01%,1.99%,0.00%,
03/14/14,Google,CCBG,Active,1.2,9.8,318,30, $23.18 , $27.00 , $0.77 , $150.00 ,1,0,0,99.07%,0.93%,0.00%,
03/15/14,Google,CCBG,Active,1.2,9.8,283,30, $28.74 , $28.34 , $0.96 , $150.00 ,2,0,0,95.61%,4.39%,0.00%,
03/16/14,Google,CCBG,Active,1.1,9.8,249,25, $33.64 , $32.64 , $1.35 , $150.00 ,2,0,0,96.14%,3.86%,0.00%,
03/17/14,Google,CCBG,Active,1.2,9.8,358,35, $36.14 , $24.27 , $1.03 , $150.00 ,6,0,0,94.96%,5.04%,0.00%,
03/18/14,Google,CCBG,Active,1.2,9.8,361,41, $79.45 , $27.77 , $1.94 , $150.00 ,3,1,1,96.01%,3.99%,0.00%,
03/19/14,Google,CCBG,Active,1.2,9.8,375,32, $33.78 , $29.69 , $1.06 , $150.00 ,8,2,0,96.90%,3.10%,0.00%,
03/20/14,Google,CCBG,Active,1.2,9.8,308,39, $24.84 , $31.94 , $0.64 , $150.00 ,6,1,0,95.36%,4.64%,0.00%,
03/21/14,Google,CCBG,Active,1.2,9.8,338,33, $68.53 , $30.09 , $2.08 , $150.00 ,5,2,2,98.26%,1.74%,0.00%,
03/22/14,Google,CCBG,Active,1.2,9.8,300,37, $25.98 , $29.71 , $0.70 , $150.00 ,8,0,0,97.40%,2.60%,0.00%,
03/23/14,Google,CCBG,Active,1.3,9.9,258,17, $14.90 , $26.15 , $0.88 , $150.00 ,5,1,0,97.36%,2.64%,0.00%,
03/24/14,Google,CCBG,Active,1.2,9.8,325,47, $32.91 , $24.12 , $0.70 , $150.00 ,2,1,1,96.15%,3.85%,0.00%,
03/25/14,Google,CCBG,Active,1.2,9.8,343,50, $85.42 , $28.02 , $1.71 , $150.00 ,6,2,2,95.81%,4.19%,0.00%,
03/26/14,Google,CCBG,Active,1.2,9.8,324,53, $86.01 , $26.83 , $1.62 , $150.00 ,8,0,0,98.48%,1.52%,0.00%,
03/27/14,Google,CCBG,Active,1.1,9.9,356,38, $29.89 , $27.42 , $0.79 , $150.00 ,13,3,3,94.93%,5.07%,0.00%,
03/28/14,Google,CCBG,Active,1.1,9.8,315,35, $52.25 , $32.27 , $1.49 , $150.00 ,1,0,0,96.33%,3.67%,0.00%,
03/29/14,Google,CCBG,Active,1.2,9.9,280,39, $56.23 , $31.72 , $1.44 , $150.00 ,3,0,0,97.56%,2.44%,0.00%,
03/30/14,Google,CCBG,Active,1.1,9.9,243,25, $19.35 , $19.93 , $0.77 , $150.00 ,1,0,0,97.59%,2.41%,0.00%,
03/31/14,Google,CCBG,Active,1.2,9.8,368,40, $27.42 , $26.96 , $0.69 , $150.00 ,12,1,1,96.34%,3.66%,0.00%,
01/01/14,Google,CCBGK,Active,1.3,9.3,249,36, $16.54 , $6.24 , $0.46 , $50.00 ,2,0,0,94.68%,5.32%,0.00%,
01/02/14,Google,CCBGK,Active,1.1,9.5,203,31, $29.36 , $6.37 , $0.95 , $50.00 ,5,1,1,95.31%,4.69%,0.00%,
01/03/14,Google,CCBGK,Active,1.2,9.4,172,17, $14.66 , $5.97 , $0.86 , $50.00 ,6,3,2,93.99%,6.01%,0.00%,
01/04/14,Google,CCBGK,Active,1.3,9.5,117,13, $11.20 , $6.83 , $0.86 , $50.00 ,2,0,0,95.90%,4.10%,0.00%,
01/05/14,Google,CCBGK,Active,1.2,9.5,145,18, $15.01 , $6.42 , $0.83 , $50.00 ,3,1,1,94.16%,5.84%,0.00%,
01/06/14,Google,CCBGK,Active,1.1,9.4,226,26, $36.26 , $6.96 , $1.39 , $50.00 ,10,1,1,96.17%,3.83%,0.00%,
01/07/14,Google,CCBGK,Active,1.2,9.5,163,21, $12.73 , $5.99 , $0.61 , $50.00 ,5,2,1,94.77%,5.23%,0.00%,
01/08/14,Google,CCBGK,Active,1.2,9.3,118,19, $16.91 , $7.04 , $0.89 , $50.00 ,2,1,0,92.19%,7.81%,0.00%,
01/09/14,Google,CCBGK,Active,1.2,9.4,145,25, $17.51 , $6.52 , $0.70 , $50.00 ,2,0,0,96.03%,3.97%,0.00%,
01/10/14,Google,CCBGK,Active,1.2,9.2,121,16, $16.03 , $7.25 , $1.00 , $50.00 ,2,1,1,98.37%,1.63%,0.00%,
01/11/14,Google,CCBGK,Active,1.2,9.3,130,19, $23.40 , $6.89 , $1.23 , $50.00 ,0,0,0,98.48%,1.52%,0.00%,
01/12/14,Google,CCBGK,Active,1.2,9.4,144,21, $25.71 , $7.92 , $1.22 , $50.00 ,2,0,0,94.74%,5.26%,0.00%,
01/13/14,Google,CCBGK,Active,1.2,9.3,164,29, $31.15 , $9.33 , $1.07 , $50.00 ,6,3,2,95.91%,4.09%,0.00%,
01/14/14,Google,CCBGK,Active,1.3,9.4,130,15, $16.58 , $9.09 , $1.11 , $50.00 ,4,0,0,97.01%,2.99%,0.00%,
01/15/14,Google,CCBGK,Active,1.2,9.4,163,14, $9.18 , $6.91 , $0.66 , $50.00 ,1,0,0,95.32%,4.68%,0.00%,
01/16/14,Google,CCBGK,Active,1.2,9.5,109,14, $12.04 , $7.29 , $0.86 , $50.00 ,5,1,0,94.78%,5.22%,0.00%,
01/17/14,Google,CCBGK,Active,1.3,9.4,128,18, $15.98 , $6.88 , $0.89 , $50.00 ,6,1,0,94.81%,5.19%,0.00%,
01/18/14,Google,CCBGK,Active,1.3,9.6,98,14, $16.06 , $12.00 , $1.15 , $50.00 ,1,0,0,94.23%,5.77%,0.00%,
01/19/14,Google,CCBGK,Active,1.3,9.5,118,17, $16.66 , $8.56 , $0.98 , $50.00 ,5,0,0,92.91%,7.09%,0.00%,
01/20/14,Google,CCBGK,Active,1.2,9.5,172,31, $36.39 , $7.88 , $1.17 , $50.00 ,13,3,2,97.73%,2.27%,0.00%,
01/21/14,Google,CCBGK,Active,1.2,9.5,163,27, $26.19 , $8.16 , $0.97 , $50.00 ,11,2,2,95.32%,4.68%,0.00%,
01/22/14,Google,CCBGK,Active,1.2,9.5,171,22, $20.32 , $9.61 , $0.92 , $50.00 ,3,0,0,94.48%,5.52%,0.00%,
01/23/14,Google,CCBGK,Active,1.3,9.4,120,23, $29.89 , $8.85 , $1.30 , $50.00 ,10,1,0,95.24%,4.76%,0.00%,
01/24/14,Google,CCBGK,Active,1.2,9.5,118,17, $21.31 , $11.92 , $1.25 , $50.00 ,18,2,1,97.52%,2.48%,0.00%,
01/25/14,Google,CCBGK,Active,1.3,9.6,119,12, $14.60 , $10.92 , $1.22 , $50.00 ,2,0,0,94.44%,5.56%,0.00%,
01/26/14,Google,CCBGK,Active,1.4,9.6,81,14, $19.74 , $9.41 , $1.41 , $50.00 ,2,1,1,60.00%,5.93%,34.07%,
01/27/14,Google,CCBGK,Active,1.6,9.6,170,15, $11.30 , $8.91 , $0.75 , $50.00 ,6,1,0,56.67%,13.33%,30.00%,
01/28/14,Google,CCBGK,Active,1.7,9.7,185,15, $10.67 , $6.26 , $0.71 , $50.00 ,4,1,1,58.73%,13.97%,27.30%,
01/29/14,Google,CCBGK,Active,1.6,9.5,135,15, $15.59 , $8.73 , $1.04 , $50.00 ,5,2,1,63.08%,11.68%,25.23%,
01/30/14,Google,CCBGK,Active,1.6,9.7,214,12, $12.95 , $6.88 , $1.08 , $50.00 ,3,3,3,85.94%,14.06%,0.00%,
01/31/14,Google,CCBGK,Active,1.7,9.6,158,4, $7.74 , $7.53 , $1.94 , $50.00 ,1,1,1,79.80%,20.20%,0.00%,
02/01/14,Google,CCBGK,Active,1.5,9.6,115,10, $12.44 , $7.17 , $1.24 , $50.00 ,0,0,0,80.42%,19.58%,0.00%,
02/02/14,Google,CCBGK,Active,1.3,9.7,89,10, $11.74 , $8.82 , $1.17 , $50.00 ,0,0,0,92.71%,7.29%,0.00%,
02/03/14,Google,CCBGK,Active,1.6,9.7,208,14, $23.22 , $6.93 , $1.66 , $50.00 ,1,0,0,75.09%,24.91%,0.00%,
02/04/14,Google,CCBGK,Active,1.6,9.6,193,13, $23.60 , $8.82 , $1.82 , $50.00 ,1,0,0,57.44%,11.01%,31.55%,
02/05/14,Google,CCBGK,Active,1.4,9.6,215,23, $17.54 , $7.84 , $0.76 , $50.00 ,7,3,3,90.72%,8.86%,0.42%,
02/06/14,Google,CCBGK,Active,1.5,9.6,314,19, $22.24 , $8.51 , $1.17 , $50.00 ,1,0,0,85.09%,14.91%,0.00%,
02/07/14,Google,CCBGK,Active,1.5,9.6,116,12, $24.99 , $9.32 , $2.08 , $50.00 ,4,0,0,48.95%,8.02%,43.04%,
02/08/14,Google,CCBGK,Active,1.6,9.7,123,15, $22.72 , $8.23 , $1.51 , $50.00 ,0,0,0,69.89%,11.36%,18.75%,
02/09/14,Google,CCBGK,Active,1.4,9.6,147,17, $12.55 , $7.53 , $0.74 , $50.00 ,3,1,1,87.50%,11.90%,0.60%,
02/10/14,Google,CCBGK,Active,1.4,9.6,277,21, $23.51 , $5.94 , $1.12 , $50.00 ,4,2,1,81.95%,18.05%,0.00%,
02/11/14,Google,CCBGK,Active,1.4,9.7,291,19, $23.94 , $7.59 , $1.26 , $50.00 ,6,0,0,84.84%,15.16%,0.00%,
02/12/14,Google,CCBGK,Active,1.4,9.5,203,22, $10.91 , $7.36 , $0.50 , $50.00 ,5,0,0,92.69%,7.31%,0.00%,
02/13/14,Google,CCBGK,Active,1.4,9.7,191,18, $10.39 , $9.34 , $0.58 , $50.00 ,4,1,0,87.21%,12.79%,0.00%,
02/14/14,Google,CCBGK,Active,1.4,9.6,143,20, $23.71 , $11.42 , $1.19 , $50.00 ,5,2,2,91.67%,8.33%,0.00%,
02/15/14,Google,CCBGK,Active,1.3,9.4,132,19, $10.24 , $6.03 , $0.54 , $50.00 ,3,2,0,90.41%,9.59%,0.00%,
02/16/14,Google,CCBGK,Active,1.5,9.6,202,19, $15.94 , $7.85 , $0.84 , $50.00 ,3,1,1,86.70%,13.30%,0.00%,
02/17/14,Google,CCBGK,Active,1.3,9.6,295,42, $35.91 , $9.00 , $0.86 , $50.00 ,11,2,0,87.28%,12.72%,0.00%,
02/18/14,Google,CCBGK,Active,1.5,9.7,348,29, $25.34 , $7.72 , $0.87 , $50.00 ,3,0,0,85.09%,14.91%,0.00%,
02/19/14,Google,CCBGK,Active,1.5,9.7,248,24, $21.78 , $8.03 , $0.91 , $50.00 ,6,0,0,92.88%,7.12%,0.00%,
02/20/14,Google,CCBGK,Active,1.3,9.5,166,13, $7.00 , $9.43 , $0.54 , $50.00 ,1,0,0,94.86%,5.14%,0.00%,
02/21/14,Google,CCBGK,Active,1.3,9.6,228,20, $10.20 , $8.33 , $0.51 , $50.00 ,3,0,0,92.31%,7.69%,0.00%,
02/22/14,Google,CCBGK,Active,1.4,9.6,168,16, $9.41 , $7.16 , $0.59 , $50.00 ,4,2,2,86.60%,13.40%,0.00%,
02/23/14,Google,CCBGK,Active,1.4,9.4,263,14, $17.39 , $7.69 , $1.24 , $50.00 ,3,1,0,86.80%,13.20%,0.00%,
02/24/14,Google,CCBGK,Active,1.6,9.3,244,14, $6.39 , $7.22 , $0.46 , $50.00 ,0,0,0,90.04%,9.96%,0.00%,
02/25/14,Google,CCBGK,Active,1.4,9.4,242,19, $10.89 , $6.88 , $0.57 , $50.00 ,10,1,1,89.63%,10.37%,0.00%,
02/26/14,Google,CCBGK,Active,1.4,9.5,184,17, $9.11 , $10.53 , $0.54 , $50.00 ,2,0,0,96.84%,3.16%,0.00%,
02/27/14,Google,CCBGK,Active,1.5,9.3,209,21, $13.00 , $8.19 , $0.62 , $50.00 ,2,2,1,91.67%,8.33%,0.00%,
02/28/14,Google,CCBGK,Active,1.4,9.3,175,19, $10.12 , $6.75 , $0.53 , $50.00 ,1,1,1,97.22%,2.78%,0.00%,
03/01/14,Google,CCBGK,Active,1.6,9.5,172,20, $16.96 , $8.57 , $0.85 , $50.00 ,1,0,0,90.05%,9.95%,0.00%,
03/02/14,Google,CCBGK,Active,1.4,9.5,120,17, $9.02 , $8.61 , $0.53 , $50.00 ,3,1,1,92.31%,7.69%,0.00%,
03/03/14,Google,CCBGK,Active,1.5,9.3,155,13, $6.77 , $8.43 , $0.52 , $50.00 ,2,0,0,93.94%,6.06%,0.00%,
03/04/14,Google,CCBGK,Active,1.4,9.4,168,16, $26.11 , $8.27 , $1.63 , $50.00 ,12,2,2,97.11%,2.89%,0.00%,
03/05/14,Google,CCBGK,Active,1.2,9.4,191,20, $22.39 , $9.20 , $1.12 , $50.00 ,2,1,0,96.95%,3.05%,0.00%,
03/06/14,Google,CCBGK,Active,1.2,9.4,121,19, $16.55 , $10.63 , $0.87 , $50.00 ,3,0,0,88.32%,11.68%,0.00%,
03/07/14,Google,CCBGK,Active,1.2,9.5,113,9, $7.65 , $11.78 , $0.85 , $50.00 ,1,1,0,90.40%,9.60%,0.00%,
03/08/14,Google,CCBGK,Active,1.6,9.4,102,16, $8.96 , $10.39 , $0.56 , $50.00 ,5,3,0,88.70%,11.30%,0.00%,
03/09/14,Google,CCBGK,Active,1.2,9.4,91,17, $14.13 , $11.68 , $0.83 , $50.00 ,4,2,2,95.79%,4.21%,0.00%,
03/10/14,Google,CCBGK,Active,1.4,9.4,158,19, $21.45 , $9.67 , $1.13 , $50.00 ,3,1,0,92.40%,7.60%,0.00%,
03/11/14,Google,CCBGK,Active,1.7,9.3,220,24, $20.07 , $11.73 , $0.84 , $50.00 ,7,2,0,89.80%,10.20%,0.00%,
03/12/14,Google,CCBGK,Active,1.2,9.5,161,22, $15.55 , $7.35 , $0.71 , $50.00 ,5,1,0,96.99%,3.01%,0.00%,
03/13/14,Google,CCBGK,Active,1.5,9.3,195,28, $40.33 , $11.97 , $1.44 , $50.00 ,6,2,2,85.90%,14.10%,0.00%,
03/14/14,Google,CCBGK,Active,2,9.3,291,33, $40.38 , $8.77 , $1.22 , $50.00 ,5,1,1,76.18%,23.82%,0.00%,
03/15/14,Google,CCBGK,Active,2,9.4,288,22, $24.69 , $8.67 , $1.12 , $50.00 ,0,0,0,75.39%,24.61%,0.00%,
03/16/14,Google,CCBGK,Active,1.8,9.4,327,26, $32.36 , $10.27 , $1.24 , $50.00 ,9,2,1,74.32%,25.68%,0.00%,
03/17/14,Google,CCBGK,Active,1.9,9.3,428,18, $13.57 , $8.54 , $0.75 , $50.00 ,4,1,0,76.57%,23.43%,0.00%,
03/18/14,Google,CCBGK,Active,1.7,9.4,422,29, $46.38 , $8.82 , $1.60 , $50.00 ,2,2,2,77.72%,22.28%,0.00%,
03/19/14,Google,CCBGK,Active,1.6,9.3,334,29, $27.22 , $7.23 , $0.94 , $50.00 ,9,4,2,75.74%,24.26%,0.00%,
03/20/14,Google,CCBGK,Active,1,9.4,140,23, $20.28 , $11.98 , $0.88 , $50.00 ,4,1,1,95.89%,4.11%,0.00%,
03/21/14,Google,CCBGK,Active,1.1,9.5,134,23, $15.01 , $12.32 , $0.65 , $50.00 ,5,1,1,93.06%,6.94%,0.00%,
03/22/14,Google,CCBGK,Active,1,9.3,107,10, $6.27 , $10.71 , $0.63 , $50.00 ,6,2,0,86.99%,13.01%,0.00%,
03/23/14,Google,CCBGK,Active,1.1,9.5,119,24, $15.18 , $10.19 , $0.63 , $50.00 ,9,4,2,85.00%,15.00%,0.00%,
03/24/14,Google,CCBGK,Active,1.1,9.4,140,26, $15.34 , $10.17 , $0.59 , $50.00 ,2,0,0,92.72%,7.28%,0.00%,
03/25/14,Google,CCBGK,Active,1.1,9.5,129,20, $14.25 , $9.96 , $0.71 , $50.00 ,1,1,0,92.81%,7.19%,0.00%,
03/26/14,Google,CCBGK,Active,1.1,9.5,130,25, $25.32 , $9.23 , $1.01 , $50.00 ,3,2,2,93.53%,6.47%,0.00%,
03/27/14,Google,CCBGK,Active,1.1,9.5,128,35, $20.55 , $9.53 , $0.59 , $50.00 ,1,0,0,98.46%,1.54%,0.00%,
03/28/14,Google,CCBGK,Active,1.1,9.5,111,18, $13.60 , $7.07 , $0.76 , $50.00 ,5,2,1,94.87%,5.13%,0.00%,
03/29/14,Google,CCBGK,Active,1.1,9.5,98,21, $12.20 , $14.13 , $0.58 , $50.00 ,2,0,0,87.50%,12.50%,0.00%,
03/30/14,Google,CCBGK,Active,1.1,9.4,129,20, $22.59 , $7.51 , $1.13 , $50.00 ,10,2,0,93.48%,6.52%,0.00%,
03/31/14,Google,CCBGK,Active,1.2,9.5,183,24, $19.30 , $12.94 , $0.80 , $50.00 ,1,1,0,91.04%,8.96%,0.00%,
01/01/14,Google,CCBG - Platinum,Active,1.3,9.2,71,5, $3.17 , $5.43 , $0.63 , $200.00 ,0,0,0,73.96%,8.33%,17.71%,
